Date,Buy/sell signal (2 = buy / -2 = sell),Profit,95% VAR,99% VAR
26/01/2006,-2,9814.286,468.7251403,639.5930269
30/01/2006,2,-762.858,379.589103,561.6472863
02/02/2006,-2,-828.572,458.2665998,633.191575
05/04/2006,2,1397.142,401.3842119,566.153431
17/04/2006,-2,-685.714,412.142028,577.9448558
18/04/2006,2,-402.856,415.6522536,591.1528802
19/04/2006,-2,-162.856,415.9131255,588.9430096
20/04/2006,2,-565.712,426.4043713,603.6295442
24/04/2006,-2,-537.14,415.7495452,589.4720529
25/04/2006,2,-119.998,416.6632849,590.1238228
16/05/2006,-2,-340,401.3947331,567.8623837
20/07/2006,2,1279.998,400.7691692,563.8628688
21/12/2006,-2,6399.998,373.4088758,514.5735736
04/01/2007,2,-788.572,321.7548922,469.1481898
05/01/2007,-2,-174.286,394.1692471,546.9775471
08/01/2007,2,-120,317.658008,459.6941051
22/01/2007,-2,377.142,461.2275363,638.3149244
21/02/2007,2,-688.572,399.1223287,572.1460494
27/02/2007,-2,-1505.714,422.24928,588.0795842
01/03/2007,2,-894.286,402.3814308,576.9512836
02/03/2007,-2,-471.43,435.1380676,605.9664067
06/03/2007,2,-794.288,409.1388572,586.7731026
09/08/2007,-2,10914.284,687.249231,946.6169862
22/08/2007,2,-1748.572,623.2237956,916.0125897
28/08/2007,-2,-1625.712,753.1320787,1040.34522
29/08/2007,2,-2074.282,676.4169951,981.0019055
07/09/2007,-2,-659.998,841.3709053,1151.867352
10/09/2007,2,-1411.43,712.7863651,1041.632658
12/11/2007,-2,4871.426,1064.175627,1490.94096
13/11/2007,2,-4628.574,1096.860281,1581.856832
19/11/2007,-2,-1717.144,1228.958962,1705.604336
20/11/2007,2,-1400,1104.263704,1596.768867
04/01/2008,-2,3199.998,1278.169139,1757.503534
24/03/2008,2,11577.14,1087.717709,1517.168837
12/06/2008,-2,9637.142,1146.481441,1608.42333
16/06/2008,2,-1022.856,969.9564515,1401.937715
20/06/2008,-2,-448.57,1120.948237,1542.818019
11/08/2008,2,488.574,931.0552716,1357.09162
29/08/2008,-2,-1151.428,958.8722573,1361.607231
08/12/2008,2,19945.714,1153.590075,1605.318964
11/12/2008,-2,-1348.572,985.5923291,1418.796145
12/12/2008,2,-934.286,1130.037953,1593.955702
15/12/2008,-2,-1005.714,989.4073581,1425.632243
05/01/2009,2,48.57,1119.427826,1552.969711
06/01/2009,-2,-445.716,958.1808036,1390.21918
27/01/2009,2,654.284,1093.801296,1512.993578
19/02/2009,-2,-25.716,972.9203885,1382.534429
25/02/2009,2,-148.572,910.8751079,1286.728603
26/02/2009,-2,-562.858,890.5864068,1253.772276
04/03/2009,2,-565.714,872.557729,1237.919985
05/03/2009,-2,-665.714,847.6441841,1199.060372
11/03/2009,2,-1097.144,834.4464577,1189.120717
04/12/2009,-2,28754.288,783.965788,1078.807034
09/12/2009,2,-1279.998,653.2761166,958.0817108
11/12/2009,-2,-894.288,779.3385716,1066.391249
14/12/2009,2,-660,654.1020319,956.6415316
15/12/2009,-2,-802.856,777.2084995,1074.982938
21/12/2009,2,-1160,678.8110867,985.1369799
22/01/2010,-2,-137.142,838.6197072,1164.037107
26/01/2010,2,-2340,756.1076854,1095.346165
28/01/2010,-2,-1900.002,864.3553856,1205.945691
16/02/2010,2,-1174.286,830.3700673,1188.812497
19/02/2010,-2,-494.286,883.6497351,1226.417684
26/02/2010,2,-842.858,823.0951362,1169.062831
07/05/2010,-2,8925.716,1074.393074,1488.982913
10/05/2010,2,-5180,1062.857306,1546.799006
20/05/2010,-2,-4637.144,1161.155547,1620.60246
24/05/2010,2,-2571.426,1097.928506,1582.39227
25/05/2010,-2,-439.996,1211.347097,1682.467599
27/05/2010,2,-2322.854,1146.630566,1661.302076
08/06/2010,-2,-1148.568,1278.924715,1775.753094
11/06/2010,2,-1194.284,1137.514248,1636.689549
29/06/2010,-2,760.002,1262.970883,1742.311123
07/07/2010,2,-714.286,1081.821124,1569.231699
13/07/2010,-2,-1962.86,1248.750287,1737.853039
22/07/2010,2,-2062.858,1112.968207,1609.243401
11/08/2010,-2,-2522.858,1206.828733,1688.455515
03/09/2010,2,-2451.432,1215.414327,1723.440568
15/03/2011,-2,24759.994,1055.070946,1452.611421
25/03/2011,2,-1745.72,1030.871416,1484.612014
01/04/2011,-2,-1994.286,1116.778785,1558.301545
21/04/2011,2,-1754.28,983.7445944,1410.099393
13/05/2011,-2,-2914.282,1059.057238,1501.728518
31/05/2011,2,-2094.284,1076.182422,1537.690327
06/06/2011,-2,-2797.142,1065.471659,1513.051301
01/07/2011,2,-1491.432,1134.774328,1589.900488
08/08/2011,-2,2842.856,1265.99018,1764.761668
09/08/2011,2,-5942.856,1317.896439,1892.051038
19/08/2011,-2,-5137.146,1405.171971,1994.597171
23/08/2011,2,-5020.004,1457.037394,2080.786128
30/09/2011,-2,2205.712,1676.328301,2348.495963
10/10/2011,2,-2140,1621.084837,2337.576041
09/11/2011,-2,1848.572,1954.161174,2717.815503
05/12/2011,2,648.568,1831.738093,2636.75741
06/12/2011,-2,-588.578,1903.194365,2673.707098
09/12/2011,2,-762.864,1843.307962,2611.627462
13/12/2011,-2,-1374.29,1836.688354,2597.736077
20/12/2011,2,-2040,1876.93007,2656.174533
24/04/2012,-2,46951.432,2448.649884,3315.605011
25/04/2012,2,-14205.718,2194.503048,3289.797944
03/05/2012,-2,-8051.436,2886.29518,3945.577254
18/06/2012,2,-1131.424,2373.679501,3483.382401
25/06/2012,-2,-4288.56,2804.180957,3888.105366
27/06/2012,2,-1065.704,2416.059413,3489.339386
28/06/2012,-2,-1557.144,2753.156253,3819.187937
29/06/2012,2,-4271.44,2465.546339,3543.273037
25/07/2012,-2,-2580.002,2682.829145,3756.830861
27/07/2012,2,-2911.422,2557.303051,3668.183494
05/10/2012,-2,19265.716,2434.978253,3342.591896
22/03/2013,2,54479.996,2775.454087,3860.569569
27/03/2013,-2,-2808.578,2374.573728,3415.111722
30/04/2013,2,2657.142,2454.169574,3407.480403
15/05/2013,-2,-3979.996,2126.10476,3090.716695
20/05/2013,2,-4022.858,2396.786231,3355.101531
12/06/2013,-2,-3068.574,2011.935989,2863.392971
13/06/2013,2,-1077.142,2190.201351,3062.785201
14/06/2013,-2,-1688.568,1978.790388,2851.796795
