Date,Buy or sell signal,Profit,95% VAR,99% VAR
20/09/2005,-2,14259.994,1595.456816,2202.114861
26/09/2005,2,-2940.002,1424.206757,2062.681927
07/10/2005,-2,760.002,1677.257159,2315.992029
10/10/2005,2,-79.994,1471.906626,2131.68716
11/10/2005,-2,-719.992,1654.249421,2339.068687
14/10/2005,2,-779.998,1491.267994,2133.801185
26/10/2005,-2,-8080.002,1787.999831,2510.654532
15/11/2005,2,-9400.002,1855.74487,2681.573293
10/01/2006,-2,2400.002,1627.549303,2289.133564
06/04/2006,2,14280.008,1112.986845,1561.085472
07/04/2006,-2,-2839.996,1019.93235,1465.200731
25/05/2006,2,2919.998,1214.683045,1687.912396
30/05/2006,-2,-1980.004,1005.542529,1469.349999
15/06/2006,2,-640,1230.764058,1704.273823
12/07/2006,-2,-659.996,983.1823331,1405.719551
01/09/2006,2,5740.002,1612.512998,2280.287641
06/09/2006,-2,-1920.002,1515.00934,2159.454519
11/09/2006,2,19.996,1574.745061,2205.028577
03/01/2007,-2,15820,1605.142392,2213.431917
07/02/2007,2,-559.998,1270.610115,1832.332225
02/03/2007,-2,-2580.002,1294.235945,1800.187129
09/03/2007,2,-2300.002,1218.547353,1759.945263
13/03/2007,-2,-2040,1318.503605,1844.67512
19/03/2007,2,-1260.002,1210.26506,1737.507145
24/07/2007,-2,61599.998,4378.705041,5993.661689
25/07/2007,2,-33860,5158.762956,7572.24867
15/08/2007,-2,-27600.006,5608.39845,7729.056424
17/08/2007,2,-5280,4759.025355,6939.599379
01/11/2007,-2,25260.01,5295.096014,7394.904579
28/11/2007,2,-5300.002,5162.69275,7376.018841
17/12/2007,-2,-10420.014,3903.037235,5526.599545
19/12/2007,2,-8580.002,3914.19634,5561.859306
09/01/2008,-2,-8319.992,4019.542169,5573.626004
20/03/2008,2,24059.998,3648.602004,5074.537714
27/03/2008,-2,-4779.998,3337.492723,4768.217385
01/04/2008,2,-11799.988,3943.659482,5534.038779
08/05/2008,-2,-7819.992,3563.698438,5074.098764
12/05/2008,2,-3479.996,3843.596873,5394.400754
11/06/2008,-2,5500,3924.0818,5526.046979
13/06/2008,2,-3779.998,3854.145385,5500.829256
26/06/2008,-2,-5739.99,3831.976022,5407.253412
24/07/2008,2,-4839.996,3879.943131,5617.467645
28/07/2008,-2,-5479.996,4110.559314,5725.255214
29/07/2008,2,-4459.992,3838.394982,5523.999414
31/07/2008,-2,-3740.006,4022.137753,5621.970358
05/08/2008,2,-5540.01,3915.236728,5562.143816
10/09/2008,-2,-4740.006,3705.139315,5306.140068
11/09/2008,2,-5540.008,3857.228647,5495.02781
15/09/2008,-2,-4340.012,3791.861725,5332.885391
16/09/2008,2,-2780.014,3804.57701,5384.386331
17/09/2008,-2,-14380.004,3542.60576,5085.757663
19/09/2008,2,-18919.998,4160.592127,5859.37761
22/09/2008,-2,-12140,3994.991332,5709.271379
08/12/2008,2,47040,4622.012249,6490.050517
10/12/2008,-2,-3419.998,4330.266808,6145.121364
12/12/2008,2,-3099.998,4621.506337,6452.742979
15/12/2008,-2,-4800.004,4088.552346,5817.958647
16/12/2008,2,-7560.006,4730.843961,6648.658507
13/05/2009,-2,43120.002,4827.163908,6658.082391
14/05/2009,2,-1839.998,4258.939471,6123.456901
15/05/2009,-2,-3020.006,4787.028861,6660.67462
18/05/2009,2,-4699.998,4226.686132,6128.402065
21/05/2009,-2,20.004,4956.656083,6827.207309
26/05/2009,2,-4860,4349.137068,6369.476228
22/06/2009,-2,1520.006,4855.838402,6641.692337
25/06/2009,2,-6099.99,3699.449483,5316.628857
02/07/2009,-2,-5759.994,3841.47795,5338.281464
