Date,Buy or sell signal,Profit,95% VAR,99% VAR
14/02/2015,2,115119.172,14291.49352,20194.48116
15/02/2015,-2,-29152.404,12627.70173,17887.26631
20/02/2015,2,-11691.04,13408.7559,18777.04737
22/02/2015,-2,-9935.884,11783.87932,16882.9305
27/02/2015,2,-22220.704,13448.42716,18983.71652
24/03/2015,-2,2228.24,13550.68253,19425.94671
28/03/2015,2,-8705.048,14131.9025,20009.59694
29/03/2015,-2,-13647.4,13334.25167,19060.84383
05/04/2015,2,-23124.818,14441.46608,20432.39951
06/04/2015,-2,-6109.07,14082.55205,20038.64176
24/05/2015,2,31734.68,7141.04512,10068.2619
25/05/2015,-2,-4909.18,6647.570825,9352.891181
26/05/2015,2,-1541.992,6545.25901,9218.555598
30/05/2015,-2,-2917.358,6402.548217,9127.03695
15/06/2015,2,1548.492,6072.542839,8489.317457
08/08/2015,-2,33181.884,5577.503761,7772.128008
25/09/2015,2,27071.35,7520.144072,10636.98546
27/09/2015,-2,-3548.432,7535.551265,10594.89958
28/09/2015,2,-9210.724,7537.434311,10665.87442
15/01/2016,-2,195656.586,17325.29928,24137.51238
20/01/2016,2,-80871.826,17449.38086,25205.68321
21/01/2016,-2,-15139.526,20869.96356,28649.63225
14/02/2016,2,15858.642,16533.06901,23645.47995
15/02/2016,-2,-7149.232,17183.33059,23967.91294
16/02/2016,2,-16062.318,16625.2054,23983.00898
18/03/2016,-2,-4200.136,14495.65346,20501.41618
20/03/2016,2,-6562.134,13786.29126,19558.94027
29/03/2016,-2,6943.176,13578.87763,19225.30411
01/04/2016,2,-8299.134,13681.47162,19258.42918
19/05/2016,-2,13667.724,7951.331583,11011.49861
26/05/2016,2,-17346.742,6980.165384,9936.993662
30/07/2016,-2,371712.83,31161.51031,43070.45194
07/09/2016,2,68751.404,25209.76484,36512.51902
11/01/2017,-2,352891.296,35111.24043,48771.44163
16/01/2017,2,-107015.624,33030.85809,48078.62988
17/03/2017,-2,394023.194,55386.44085,76500.47172
21/03/2017,2,-20313.598,52322.25393,75617.77717
22/03/2017,-2,-112939.818,56645.27665,79273.23432
03/04/2017,2,-149057.25,57555.98105,82386.11195
05/04/2017,-2,-29900.024,61443.72294,86338.42626
06/04/2017,2,-95190.186,59656.18902,85329.23543
01/07/2017,-2,1842276.122,127093.4382,171060.8084
02/07/2017,2,-112834.474,91186.76357,136009.8211
09/07/2017,-2,55331.786,127599.3907,173415.3229
20/07/2017,2,-439219.482,147166.2279,217875.6955
25/07/2017,-2,-390295.654,174800.7653,240552.802
27/07/2017,2,-131279.786,145731.6524,215183.9251
13/09/2017,-2,1792248.778,252529.8143,351771.2611
27/09/2017,2,-391489.258,276522.1366,397368.2915
28/09/2017,-2,-54044.432,304217.8642,426834.947
30/09/2017,2,-260135.742,282537.156,409100.6173
11/01/2018,-2,13325614.26,1130730.56,1551987.397
27/02/2018,2,4372937.5,861472.3371,1237729.383
28/02/2018,-2,-308277.344,920903.8506,1291311.063
01/03/2018,2,-778953.124,894409.6732,1281395.729
07/03/2018,-2,-1564084.96,860808.2375,1209720.222
20/04/2018,2,1704499.024,600222.6042,847852.9269
17/05/2018,-2,-647905.274,463396.7047,649937.7823
18/05/2018,2,-261853.516,446001.1543,632431.5528
22/05/2018,-2,-279402.344,432132.8843,608444.0304
16/07/2018,2,1779174.804,286660.1565,409241.0998
07/08/2018,-2,246603.516,262756.219,378846.5867
28/08/2018,2,-594980.468,299776.1782,424549.6472
30/08/2018,-2,-302681.64,277969.8175,390340.5755
31/08/2018,2,-132962.89,283291.1121,401618.6167
05/09/2018,-2,-339522.46,278191.4668,392249.9701
21/09/2018,2,215696.29,253737.1981,362322.8141
24/09/2018,-2,-246327.148,254108.4275,356158.9219
27/09/2018,2,-155011.718,252462.5214,358519.7404
29/09/2018,-2,-80403.32,244815.5093,345225.2668
24/10/2018,2,48078.124,210046.9092,296223.9594
29/10/2018,-2,-191255.86,196301.0888,280436.9432
30/10/2018,2,-76863.28,207122.8509,289443.6022
31/10/2018,-2,-74565.428,171408.5133,248725.9306
06/01/2019,2,3495337.892,209157.4945,289304.6715
10/01/2019,-2,-630788.574,168631.2943,242973.381
17/02/2019,2,75923.828,197846.9106,273867.26
16/07/2019,-2,9579486.816,656891.0525,902829.8238
18/07/2019,2,-1737648.438,605173.7767,886990.1489
23/07/2019,-2,-1089350.586,702326.8166,959609.9153
01/08/2019,2,-1232141.602,614626.0704,899037.1833
14/08/2019,-2,-484042.968,756238.6685,1034978.194
19/08/2019,2,-1333271.484,667039.794,965530.3861
21/08/2019,-2,-1288458.984,689472.9777,959619.7387
02/09/2019,2,-437404.296,612811.9556,876645.1753
06/09/2019,-2,-294453.126,657249.6733,916776.5443
07/09/2019,2,-265474.61,611153.2834,869279.8906
08/09/2019,-2,-121046.874,659114.0059,919792.4275
26/10/2019,2,2586803.712,404895.4609,566232.4438
14/11/2019,-2,-894039.062,333008.4621,483461.2032
05/01/2020,2,2187239.258,288592.3588,402803.135
